"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MT000016597","LUQA, MT","2015-04-09","0.00","55","62","47"
"MT000016597","LUQA, MT","2015-04-10","0.00","55","64","47"
"MT000016597","LUQA, MT","2015-04-11","0.00","56","63","45"
"MT000016597","LUQA, MT","2015-04-12","0.00","58","64","51"
"MT000016597","LUQA, MT","2015-04-13","0.00","57","65","49"
"MT000016597","LUQA, MT","2015-04-14","0.01","61",,"52"
"MT000016597","LUQA, MT","2015-04-15","0.00","62","72","53"
"MT000016597","LUQA, MT","2015-04-16","0.01","61","70","51"
"MT000016597","LUQA, MT","2015-04-17","0.01","63",,"57"
"MT000016597","LUQA, MT","2015-04-18","0.00","67","79","55"
"MT000016597","LUQA, MT","2015-04-19","0.00","64","72",
"MT000016597","LUQA, MT","2015-04-20","0.00","62","68","59"
"MT000016597","LUQA, MT","2015-04-21","0.09","62","68",
"MT000016597","LUQA, MT","2015-04-22","0.01","62",,"53"
"MT000016597","LUQA, MT","2015-04-23","0.01","62","69","56"
"MT000016597","LUQA, MT","2015-04-24","0.00","63","69",
"MT000016597","LUQA, MT","2015-04-25",,"62","66",
"MT000016597","LUQA, MT","2015-04-26","0.01","63","72","56"
"MT000016597","LUQA, MT","2015-04-27","0.00","64","71",
"MT000016597","LUQA, MT","2015-04-28","0.00","64","72","58"
"MT000016597","LUQA, MT","2015-04-29","0.00","62","69",
"MT000016597","LUQA, MT","2015-04-30","0.00","64","73","53"
"MT000016597","LUQA, MT","2015-05-01","0.00","66","77","56"
"MT000016597","LUQA, MT","2015-05-02","0.00","67",,"58"
"MT000016597","LUQA, MT","2015-05-03","0.00","72","85","60"
"MT000016597","LUQA, MT","2015-05-04","0.00","72","82","61"
"MT000016597","LUQA, MT","2015-05-05","0.00","71","81",
"MT000016597","LUQA, MT","2015-05-06","0.00","74","85",
"MT000016597","LUQA, MT","2015-05-07","0.00","72","84","64"
"MT000016597","LUQA, MT","2015-05-08","0.00","72","82",
"MT000016597","LUQA, MT","2015-05-09","0.00","70","78",
"MT000016597","LUQA, MT","2015-05-10","0.00","69","81","61"
"MT000016597","LUQA, MT","2015-05-11","0.00","71","82","60"
"MT000016597","LUQA, MT","2015-05-12","0.00","69","78","60"
"MT000016597","LUQA, MT","2015-05-13","0.00","69","80","58"
"MT000016597","LUQA, MT","2015-05-14","0.00","70","78",
"MT000016597","LUQA, MT","2015-05-15","0.00","73","81","67"
"MT000016597","LUQA, MT","2015-05-16","0.00","71","81","62"
"MT000016597","LUQA, MT","2015-05-17","0.00","65","72",
"MT000016597","LUQA, MT","2015-05-18",,"61","66",
"MT000016597","LUQA, MT","2015-05-19","0.01","68","77","58"
"MT000016597","LUQA, MT","2015-05-20","0.00","71","80","62"
"MT000016597","LUQA, MT","2015-05-21","0.00","70","79",
"MT000016597","LUQA, MT","2015-05-22","0.00","64","72",
"MT000016597","LUQA, MT","2015-05-23","0.00","64","71",
"MT000016597","LUQA, MT","2015-05-24","0.00","65","73","56"
"MT000016597","LUQA, MT","2015-05-25",,"66","76",
"MT000016597","LUQA, MT","2015-05-26","0.00","67","74",
"MT000016597","LUQA, MT","2015-05-27","0.00","65","72","62"
"MT000016597","LUQA, MT","2015-05-28","0.00","66","74",
"MT000016597","LUQA, MT","2015-05-29","0.00","67","76","58"
"MT000016597","LUQA, MT","2015-05-30","0.00","65","76","56"
"MT000016597","LUQA, MT","2015-05-31","0.00","67","74","60"
"MT000016597","LUQA, MT","2015-06-01","0.00","67","76","60"
"MT000016597","LUQA, MT","2015-06-02","0.00","69","77","62"
"MT000016597","LUQA, MT","2015-06-03","0.00","72","82","61"
"MT000016597","LUQA, MT","2015-06-04","0.00","73","83","63"
"MT000016597","LUQA, MT","2015-06-05","0.00","76","85","66"
"MT000016597","LUQA, MT","2015-06-06","0.00","73","80",
"MT000016597","LUQA, MT","2015-06-07","0.00","73","83",
"MT000016597","LUQA, MT","2015-06-08","0.00","73","81",
"MT000016597","LUQA, MT","2015-06-09","0.00","74","84","65"
"MT000016597","LUQA, MT","2015-06-10","0.00","75","85","65"
"MT000016597","LUQA, MT","2015-06-11","0.00","75","85","65"
"MT000016597","LUQA, MT","2015-06-12","0.00","75","83","67"
"MT000016597","LUQA, MT","2015-06-13","0.00","74","81",
"MT000016597","LUQA, MT","2015-06-14","0.00","76","83","71"
"MT000016597","LUQA, MT","2015-06-15","0.00","76","85",
"MT000016597","LUQA, MT","2015-06-16","0.00","76","85","68"
"MT000016597","LUQA, MT","2015-06-17","0.00","75","84",
"MT000016597","LUQA, MT","2015-06-18","0.00","72","80","68"
"MT000016597","LUQA, MT","2015-06-19","0.00","72",,"67"
"MT000016597","LUQA, MT","2015-06-20","0.00","72",,"68"
"MT000016597","LUQA, MT","2015-06-21","0.00","73","83","67"
"MT000016597","LUQA, MT","2015-06-22","0.00","74","81","68"
"MT000016597","LUQA, MT","2015-06-23","0.00","72","78","68"
"MT000016597","LUQA, MT","2015-06-24","0.00","74","81",
"MT000016597","LUQA, MT","2015-06-25","0.00","74","80","68"
"MT000016597","LUQA, MT","2015-06-26","0.00","75","84","69"
"MT000016597","LUQA, MT","2015-06-27","0.00","76","84","67"
"MT000016597","LUQA, MT","2015-06-28","0.00","74","83",
"MT000016597","LUQA, MT","2015-06-29","0.00","75","86","67"
"MT000016597","LUQA, MT","2015-06-30","0.00","76","86","66"
"MT000016597","LUQA, MT","2015-07-01","0.00","76","87",
"MT000016597","LUQA, MT","2015-07-02","0.00","77","85","70"
"MT000016597","LUQA, MT","2015-07-03","0.00","78","88",
"MT000016597","LUQA, MT","2015-07-04","0.00","79","89","69"
"MT000016597","LUQA, MT","2015-07-05","0.00","79","90","70"
"MT000016597","LUQA, MT","2015-07-06","0.00","79","88","71"
"MT000016597","LUQA, MT","2015-07-07","0.00","80","90","70"
"MT000016597","LUQA, MT","2015-07-08","0.00","80","91","72"
"MT000016597","LUQA, MT","2015-07-09","0.01","79","89",
"MT000016597","LUQA, MT","2015-07-10","0.00","78","85",
"MT000016597","LUQA, MT","2015-07-11","0.00","78","85","73"
"MT000016597","LUQA, MT","2015-07-12","0.00","80","90",
